character|line
phoebe|no i’m a professional
rachel|oh pheebs is that a new ankle bracelet
monica|wow
monica|and you got a petticure
monica|your feet are all dressed up
chandler|because that’s the only part of you he can see when he’s on the table
monica|you’re gonna do some feet flirtin’
phoebe|i don’t what your talking about
ross|then how do you explain the toe ring
phoebe|because it’s arabian princess day at work
phoebe|okay
phoebe|leave me alone
rachel|oh
rachel|my hero
rachel|what happened
joey|well uh i went down there and told him that no one treats my friends like that and that he’d better come up here and apologize
joey|i’ll see you later
monica|what a minute what did he say
joey|he said that he wasn’t gonna apologize because you guys are living here illegally so instead what he’s gonna do is have you evicted i’ll see you later
rachel|what
rachel|you got us evicted
monica|i told you not to go down there
joey|well he made rachel cry
monica|rachel always cries
rachel|that’s not true
monica|now joey you go down there and you suck up to him
monica|i mean you suck like you’ve never sucked before
joey|all right
joey|i’ll try
joey|but if i can’t you can stay with chandler and i until you get settled
rachel|go
joey|all right all right all right
joey|i mean i’ll have to check with him first but i’ll think he’ll be cool with it
ross|whoa whoa whoa hey
ross|now remember what we talked about you gotta be strong
chandler|yes
chandler|yes
ross|one more time hey don’t you want a washboard stomach and rock hard pecs
chandler|no
chandler|i want a flabby gut and saggy man breasts
ross|good
ross|that’s good
chandler|okay
chandler|i wanna quit the gym
chandler|i wanna quit the gym
chandler|i wanna quit the gym
ross|me
ross|no
chandler|i wanna quit the gym
ross|it’s okay man be strong
ross|no
ross|and i’m not gonna be so you can save you little speech
phoebe|these old things
phoebe|you mean the okay by siadic you mean the towel covered portion
phoebe|sure yeah no i can do that yeah because umm y'know the muscles in the siadic area can get y’know real nice and tight
phoebe|so umm tell me rick how umm how did you injure the area
phoebe|oh
phoebe|no
joey|please don’t kick monica and rachel out this wasn’t there fault it was mine
joey|no you can’t do that where would the chick and the duck live
joey|noo no no no those are nicknames
joey|i’m the chick and chandler is the duck
joey|come on man just just let the girls stay i’ll do whatever you want
joey|yeah yeah absolutely
joey|what what is it
joey|that’s not prison lingo is it
monica|his dancing partner
joey|yeah there’s this superintendent’s dance the super ball
joey|i don’t know and he wants to impress marge this lady super that he’s a crush on
rachel|well why doesn’t he practice with a girl
joey|well he’s too shy he doesn’t thing he’s good enough to dance with girls yet
rachel|yeah right he almost danced me right down that garbage chute
monica|oh would you let it go already
monica|you’re fine
chandler|hey
rachel|hey
rachel|so did you quit
chandler|no i almost did couldn’t leave ross there without a spotter
monica|wait now so you joined the gym
ross|and that’s funny why
rachel|oh umm i was just y’know working out and umm oh that’s it
chandler|we’re doomed
chandler|okay they’re gonna take bucks out of our accounts for the rest of our lives
chandler|what are we gonna do
monica|well you could actually go to the gym
ross|or
ross|or we could go to the bank close our accounts and cut them off at the source
chandler|you’re a genius
joey|aww man now we won’t be bank buddies
chandler|now there’s two reasons
phoebe|hey
phoebe|ohh you guys remember that cute client i told you about
phoebe|i bit him
rachel|where
phoebe|on the touchy
ross|and that’s not against your oath
phoebe|no i know
phoebe|i i’m sorry but the moment i touch him i just wanna throw out my old oath and take a new dirty one
monica|well next time your massaging him you should try and distract yourself
joey|yeah
joey|yeah
joey|yeah
joey|like like when i’m doing something exciting and i don’t wanna get too excited i just ahh y’know try to thing of other things like ah sandwiches and ah baseball and ah chandler
chandler|thank you joey
joey|no no thank you
joey|all right i’m here let’s ahh get this over with
joey|whoa whoa don’t we need to do some kinda preparation first
joey|like ahh get really drunk
joey|no it’s okay but if i’m marge my breasts are coming out my back
joey|come on man you’re not a potato
joey|come on treeger don’t say that
joey|you just ahh you just need more practice
joey|here come on let’s ahh let’s try it again
joey|come on
joey|plus it was it was probably mostly my fault anyway
joey|i mean y’know i’m not really that comfortable dancing with a we he
joey|hey
monica|hey hey how goes the dancing
monica|gay yet
joey|ah ha ha you guys owe me big time
rachel|what was that
joey|what
rachel|you just did a little dancy thing
joey|no i didn’t
monica|yes you did
monica|you did like a little hop
rachel|you are soo enjoying this
joey|no i’m not
joey|and it wasn’t a hop it was a pademarie
monica|you know the words
monica|you are so into this
joey|all right well maybe i’m enjoying it a little bit
joey|i mean i’m getting pretty good at it
rachel|ooh this is soo sweet joey our little twinkle toes
joey|hey hey hold on this isn’t some kind of like girly dance
joey|all right it’s like a sport it’s manly
monica|all right then show me some manly moves
joey|all right
joey|i don’t know how to lead
ross|hello
chandler|hi
ross|we’d like to close our accounts
ross|no no
chandler|no we’d just like to close them
chandler|i wanna quit the bank
phoebe|okay baseball
phoebe|rick playing baseball
phoebe|okay slides into second maybe even his pants come down a little oh no wait no no
phoebe|no
phoebe|okay all right sandwiches sandwiches
phoebe|umm okay on a plate maybe rick’s pants come down a little
phoebe|no
phoebe|no
phoebe|okay chandler
phoebe|okay chandler ooh that’s working
phoebe|chandler’s knees
phoebe|chandler’s ankles
phoebe|chandler’s ankle hair
phoebe|oh no
phoebe|okay you’re all set
phoebe|yeah
phoebe|in really long hour world
phoebe|ugh okay i have an enormous crush on you
phoebe|but because you’re a client i can’t ask you out even though you give me y’know the feeling
phoebe|really
phoebe|what
phoebe|okay quit down
phoebe|oh yeah oh and i know but this isn’t what it looks like ‘cause rick is my ahh husband
phoebe|yes i will tell her
monica|so you didn’t leave the bank
ross|no
ross|and somehow we ended up with a joint checking account
rachel|what are you ever gonna use that for
chandler|to pay for the gym
chandler|hey
phoebe|hey
phoebe|so i had a great day rick and i really hit it off and we started making out and then my boss walked in and fired me for being a whore
joey|what
rachel|you got fired
monica|oh my gosh
phoebe|it’s so weird i have never been fired from anything before
rachel|sweety
phoebe|i just i just started walking around not knowing what to do next y’know
phoebe|i i started asking people on the street if they wanted massages
phoebe|then these policemen thought i was a whore too
phoebe|it’s been a really bad day whore wise
chandler|yeah bunny rabbit
joey|so you ah ready for our last practice
joey|look you wanna use our place
joey|we did it
joey|i know it was amazing
joey|i mean we totally nailed it it was beautiful
joey|oh well okay good luck
joey|unless you wanna practice the foxtrot again
joey|or or the tango
joey|okay
joey|go get ‘em treeger
joey|really
joey|no i’m good
phoebe|yeah they thought i was a whore
phoebe|great
phoebe|thank you very much
ross|hello
ross|what's this
ross|oh right its that girl's phone number
ross|yeah yeah there it is just a phone number a really hot girl gave me
ross|it's no big deal i mean it is her home phone number but
ross|whoa
ross|whoa whoops i almost lost this baby
ross|yeah the lovely amanda gives me her number and i i go and drop it
phoebe|thank you
rachel|yeah
rachel|may fifth why
ross|oh mine's december
chandler|ohh she's pretty
chandler|pretty ahh pretty girl the pretty she's pretty
monica|just go up to her and ask her out
monica|oh what's the worst thing that could happen
chandler|i could die
ross|yeah it's it's tough being single
ross|that's why i'm so glad i found amanda
rachel|ross you guys went out once
rachel|you took your kids to chucky cheese and you didn't even kiss her
chandler|i tell people secrets
chandler|it makes them like me
phoebe|oh
chandler|hey
monica|phoebe
monica|you're sick you shouldn't play
monica|you should just go home get in bed and stay there
phoebe|but i'm unemployed my music is all i really have now
phoebe|well music and making my own shoes
phoebe|pretty huh
chandler|all right i'm gonna do it
chandler|i'm gonna get shot down
chandler|any advice
monica|just be yourself
monica|but not too much
chandler|wish me luck
ross|good luck
chandler|wish it
chandler|hi
chandler|hi i i was just sitting over there and uhh chandler
chandler|my name is chandler
chandler|did i say that
chandler|uh kathy with k or a c
chandler|oh oh hey
chandler|hey come on give me a break i'm out on a limb here
joey|hey
chandler|hey
chandler|hey hey hey hey
joey|hey i see you guys already met huh
chandler|yes yes i was just trying to figure out a way to uh demonstrate how i could get my exceptionally large feet into my even bigger mouth
joey|didn't i tell ya
joey|always showin off
phoebe|before i start i just wanna say that umm i have a cold so if i sneeze in the middle of song it's not on purpose
phoebe|oh except the last verse of pepper people
phoebe|smelly cat smelly cat
phoebe|what are they feeding you
phoebe|this chick sounds good
phoebe|smelly cat smelly hey gunther be a good little boy and bring me a whiskey
chandler|hi
chandler|jeez at in the morning i didn't expect to have to fight over the remote
chandler|oh my god
chandler|that's why i got up too
chandler|hey listen i'm sorry about this afternoon y'know if i would've known you guys were
chandler|i never would've
chandler|so ah joey tells me you two met in acting class
chandler|that's a good thing actually because ah he used to have me rehearse with him
chandler|is it on
chandler|hey
chandler|oh
chandler|it's on
chandler|it's on
chandler|there we go little fella
chandler|well the duck can swim
phoebe|my sticky shoes my sticky sticky shoes why do you stick on me ba a by
phoebe|thanks for the lights honey
monica|that cold makes you sound so great
phoebe|it's fun god i love how sexy i am
joey|oh kath we should get going
joey|we're going to by hamsters
rachel|well have fun
phoebe|well i think it's great that the medical community is finally trying to help sick hamsters
monica|y'know what i like kathy
chandler|oh yeah me too she's so cool and pretty
rachel|yeah she's
chandler|she's smart and funny y'know
chandler|we were up all last night talking she said the funniest thing about what
rachel|you love her
chandler|no i don't
phoebe|yes you do
phoebe|chandler loves kathy
ross|come on pheebs lay off him
chandler|thank you ross
ross|yeah he's a little sensitive right now cause he's so in love
chandler|all right
chandler|all right
monica|ooh umm oh kathy
monica|kathy i love you
monica|oh
phoebe|so i need to write some depressing stuff to go along with my new floozy voice but nothing that sad has ever really happened to me
monica|oh umm how about your mom dying or having to live on the streets when you were
phoebe|uh huh
phoebe|oh yeah i could write about the time my hair did that woo hoo thing
ross|hey
monica|hey
phoebe|hey
ross|so i'm going over to amanda's tonight
monica|rachel's not here
ross|oh
monica|how's it going with her
ross|great actually
ross|i'm thinking tonight maybe the night
ross|yeah i mean ah the kids are gonna play together and then when they're asleep i'm thinking amanda and i break open a bottle of wine and do a little playing ourselves
rachel|hi guys
rachel|this is josh
rachel|josh these are my friends and that's ross
monica|hi josh
phoebe|hi
monica|so did you play in college
monica|sweatshirt he's wearing
rachel|ross didn't you ah play soccer in high school
rachel|oh no wait that's right
rachel|you just organized their game schedules on your commodore
rachel|okay
rachel|i'll miss you
phoebe|wow cute one
monica|very
rachel|i know isn't he great
rachel|it's so nice to finally be in a fun relationship y'know
rachel|there's nothing boring about him and ah i bet he's never set foot in a museum
ross|well maybe he'll get to go soon like on a class trip or something
rachel|y'know what else is really great about him oh what is the word for the adult that doesn't have dinosaur toys in their bedroom
ross|oh
rachel|what was that
ross|monica knows
monica|it's this dumb thing that ross made up cause he was trying to fool our parents
monica|it's a way of giving the finger without actually having to give it
monica|i remember i cried the night you made it up cause it was the first time that i realized that i was actually cooler than my older brother
ross|well i'm gonna go get ready for my date tonight so ah i'll just head
phoebe|yeah i should go to cause i'm playing in one hour
phoebe|hey you guys should come hear me ooh hear me
phoebe|ooh my sticky shoes eww
phoebe|eww
phoebe|i lost my sexy phlegm
ross|hi
ross|wow
ross|you you look great
ross|okay
ross|hey tommy
ross|oh no no no it's my pleasure
ross|what
ross|i i i
ross|who wants to make some long distance calls
chandler|kathy
chandler|kathy
chandler|hi
chandler|kathy
chandler|kathy
chandler|kathy
chandler|fetch
chandler|fetch it
chandler|kathy
chandler|kathy
chandler|kathy
chandler|kathy
chandler|kathy
chandler|oh i just wanted to say hey
chandler|okay
monica|oh come on
monica|you're making it sound worse than it actually was
ross|her date tipped me ten dollars
ross|pheebs what are you doing
phoebe|okay i wanna be sexy again so i'm trying to catch a cold
phoebe|it should be easy supposedly they're pretty common
monica|phoebe you'll catch pneumonia
chandler|okay
chandler|you were right
chandler|i'm in love with joey's girlfriend
phoebe|what
ross|are you serious
phoebe|well how how how is that possible
phoebe|you barely know her
chandler|i don't know
chandler|i can't i just i can't get her out of my head
chandler|y'know
chandler|i mean i'm a very bad person
chandler|i'm a very very bad person
chandler|i'm a horrible person
chandler|no you're not chandler
chandler|we still love you chandler
monica|oh gosh phoebe i think i caught your cold
phoebe|you mean you stole it
phoebe|don't cover your mouth when you do that
joey|hey
chandler|really
joey|yeah yeah i told her about the time you got drunk and fell asleep with your head in the toilet
chandler|right in there
chandler|ready or not here i come
chandler|all right let's go over the concept one more time
joey|hey
chandler|hey
joey|hey guys
joey|listen uh you wanna get some dinner with me and kathy tonight
chandler|ohh umm y'know what i already ate
joey|it's
chandler|y'know i had a big meal on monday y'know
chandler|so that's just gonna get me straight through the week
joey|okay i see what's going on here
chandler|you you do
joey|yeah
joey|you don't like kathy
chandler|you got me
joey|yeah you've been avoiding her ever since we started going out
joey|look i made an effort to like janice now i think it's your turn to make an effort to like kathy by going out to dinner with us
joey|right
chandler|yeah
chandler|right
joey|good and hey
joey|my treat
joey|but that's only because you're not eating anything right
chandler|okay
monica|ross isn't here
rachel|oh
rachel|stop it
rachel|yeah
rachel|i am soo gonna marry that guy
rachel|ohhh
monica|what
rachel|i think he's stealing from me
monica|why
rachel|because he's stealing from me
phoebe|hi
phoebe|it's me
phoebe|and soup
phoebe|hey i just saw josh he looks so yummy in your leather jacket
rachel|ughh
phoebe|here now i don't eat chicken so it's just noodle soup
phoebe|and there's no chicken in the broth either so it's really just
phoebe|noodle water
monica|thank you so much phoebe
phoebe|sure
monica|what are you doing with those
phoebe|but i need your germs
phoebe|i want my cold back
phoebe|i miss my sexy voice
monica|sorry phoebe
phoebe|it's okay
phoebe|how's the soup
monica|umm
monica|ohhhh
monica|gross
joey|is she great or what
chandler|ohh she's she's not really my type
chandler|y'know what i think it is
chandler|it's the fishnet stockings
chandler|y'know
chandler|whenever i see a girl in fishnet stockings it reminds me of my father in fishnet stockings
chandler|uhh no no thanks
chandler|listen i i'm gonna grab a beer
joey|i'll be right back
joey|what was that
chandler|what
joey|kathy was being really nice and you just walked away
joey|i thought we had a deal
chandler|hey look what do you want from me
joey|i want you to like her
joey|but if that's too damned difficult for you then the least you can do is pretend
chandler|i am pretending
joey|well then do it better
chandler|okay what do you saw i go over there and say how much i like her
chandler|no no it'll be good i can tell her much i've been thinking about her
chandler|that i haven't stopped thinking about her since the moment i met her
chandler|that i'm so fantastically over the top wanna slit my own throat in love with her that for every minute of every hour of every day i can't believe my own damn bad luck that you met her first
joey|well that's pretty good
joey|but you might wanna tone it down a little
ross|hey
ross|so uhh amanda just just dropped me off
ross|yeah that's one of the things i love about her she's
ross|uh she's old enough to drive
ross|so uhh i guess you're not going to mom and dad's tonight
monica|no sorry
rachel|well where's amanda
monica|hey rach could you get me some cough drops
rachel|i mean y'know i'm thinking
rachel|you could bring her and you guys could go up to your old room and not make out
monica|ross cough drops please
ross|at least i know she's not going out with me to get into r rated movies
rachel|why don't you just marry her
rachel|oh no wait a minute you can't i'm sorry i forgot she's not a lesbian
ross|you see amanda and i have a very special
monica|you have nothing
monica|you're not even going out
monica|you're her baby sitter
monica|you have a year old girl's job
rachel|ohh that is soo sad
monica|and what are you laughing at miss my keg sucking boyfriend is stealing from me
rachel|hey so he stole a couple bucks from me
rachel|at least he bought me something with it
monica|that's mine
monica|now would you both please start acting like adults
monica|and get me my cough drops
ross|fine
rachel|sorry
ross|here
ross|at least i made ten bucks in my relationship
rachel|y'know
phoebe|platting goats are platting
phoebe|platting down the street
phoebe|platting goats are platting leaving little treats
phoebe|does it even work without my sexy voice
phoebe|gunther kiss me
joey|hey
joey|now we're not actually gonna be sleeping in her but do you mind
chandler|can i sleep on your couch
phoebe|and i'm still waiting for my paper mache man
phoebe|thank you my babies
rachel|yeah
rachel|no
rachel|okay
rachel|okay
ross|you're welcome for a delicious dinner
phoebe|hey what are you guys looking at
chandler|ross and the most beautiful girl in the world
phoebe|yeah come to papa
ross|i know
monica|probably the only time i'll ever say this but did you see the ass on her
chandler|where did you when did you how did you
chandler|how did you get a girl like that
rachel|yeah so what is she like a
rachel|like a spokesmodel or an aerobics instructor what
ross|actually she's a paleontology doctoral candidate specializing in the centazoic era
chandler|okay but that's like the easiest era
ross|i've seen her at work but i always figured ah huh
ross|but uh i made her dinner
ross|we had a great time
ross|and we're going out again tomorrow
rachel|well maybe she and her friends are just having a contest to see who can bring home the biggest geek
ross|fine by me hope she wins
chandler|hi
chandler|you guys have any wrapping paper
phoebe|oo
phoebe|is it for my birthday present
chandler|phebes it was your birthday like months ago
phoebe|yeah but remember you said you ordered something special and it just hasn't come yet
chandler|well i have a call in about that
phoebe|kay
chandler|actually this is for kathy's birthday
chandler|it's an early edition of her favorite book
rachel|oh the velveteen rabbit
rachel|oh my god when the boy's love makes the rabbit real
chandler|okay but don't touch it because you fingers have destructive oils
rachel|huh
rachel|well then you'd better keep it away from ross's hair
rachel|so this is pretty rare
rachel|how did you get that
chandler|oh it wasn't a big deal
chandler|i just went to a couple of bookstores talked to a couple of dealers
chandler|called a couple of the author's grandchildren
rachel|oh honey that's so sweet
phoebe|yeah and what a great way to say i secretly love you roommate's girlfriend
chandler|it doesn't say that
chandler|does it
ross|how do you think it's gonna look when you get her something incredibly meaningful and expensive and her boyfriend joey gives her an orange
chandler|okay all right i'll just uh make sure that uh joey gets her something really great
phoebe|it's gotta be better than that book
phoebe|oo
phoebe|like a crossbow
monica|yeah once again i am sorry
monica|thank you
monica|bye
monica|i just had to turn down a job catering a funeral for sixty people
rachel|oh my god
rachel|what happened
monica|sixty guests
ross|so uh why did you have to turn it down
monica|because i don't have the money or the equipment to handle something that big on such short notice
monica|i mean there's no way
phoebe|wow what is with all the negativity
phoebe|you sound like monican't not monican
phoebe|monica
phoebe|look you know you have been playing around with this catering thing for over three years
phoebe|do you want to be a caterer or not
monica|i don't know
phoebe|there you go that's the spirit
phoebe|okay
phoebe|now if you need money i will lend you money but just get moving
monica|really
monica|cause i'd need like for all the food and the supplies and stuff
phoebe|okay
phoebe|it's worth it if it will get you moving
phoebe|you haven't worked in months
monica|well you're not working either
phoebe|yes but i'm doing this
monica|yeah that'd be great
monica|thank you
joey|hey
joey|why
joey|you can pee here
chandler|it's okay the duck's using our bathroom anyway
chandler|hey joe
chandler|what are you getting kathy for her birthday
joey|we've only been going out for a couple of weeks do you think i gotta get her something
rachel|yes you have to get her something and it should be something really nice
joey|oh i know
rachel|and not one of your coupons for an hour of joey love
phoebe|ooo a crossword
phoebe|can i help
rachel|no
rachel|i'm sorry honey it's just that last week i got all but three answers and i really want to finish a whole one without any help
phoebe|fine
phoebe|but you can't help me develop my new universal language
monica|hey
rachel|hey how'd it go
monica|oh my god it was the best funeral ever
monica|i mean everyone loved the food and guess what
monica|i even got another funeral for tomorrow the dead guy from today's best friend
monica|i mean it is like i am the official caterer for that accident
phoebe|mon
phoebe|i'm so happy for you
monica|thanks
monica|like check out my new catering stuff
monica|look at this
monica|i'm an omelet station
monica|omelet
monica|made to order
phoebe|i'll have one please
phoebe|plus my money
monica|oh
monica|well i didn't realize that you needed it back right away
monica|i mean you told me to go and be a caterer
monica|so i went
monica|i beed
monica|i mean i
monica|i used it to buy all this stuff
monica|but look i've got another job tomorrow so i'll pay you back with the money i make from that
phoebe|oh
phoebe|okay
phoebe|oo sorry i acted like a bank
monica|okay
ross|huh
ross|did homo erectus hunt with wooden tools
ross|mitzi is
ross|uh
ross|oh hey do you uh
ross|do you have any um cinnamon fruit toasties
ross|well i do
ross|why don't we go back to my place light a couple of candles break open a box of cinnamon fruit toasties uh
ross|oh yeah why not
monica|oh is everything in the car
phoebe|yes
phoebe|did you settle the bill
monica|no
monica|i hate this part
phoebe|oh look what we almost left
monica|no that's not mine
phoebe|oh all right
phoebe|oh
phoebe|look what we almost took
monica|excuse me mrs
monica|burkart
monica|well we're all cleaned up in the kitchen
monica|um and well there's the
monica|the the small matter of
monica|just the matter of
monica|payment
rachel|you know what we should all do
rachel|go see a musical
chandler|sure
rachel|and you know which one we should see
rachel|the tony award winner
rachel|do you happen to know the name of that one
chandler|i don't know
chandler|um grease
rachel|no
chandler|rent
rachel|yes
rachel|rent
chandler|okay so when do you want to go
rachel|what
rachel|oh i'm sorry i can't i'm busy
joey|hey
joey|man it is so hard to shop for girls
chandler|yes it is at office max
rachel|what did you get her
chandler|a pen
joey|it's two gifts in one
joey|it's a pen that's also a clock
joey|huh
chandler|huh huh
chandler|you can't give her that
joey|why not
chandler|because she's not eleven
chandler|and it's not the seventh night of hanukkah
rachel|okay honey what he means by that is
rachel|while this is a very nice gift maybe it's just not something a boyfriend gives
joey|sure it is
joey|she needs a pen for work she's writing she turns it over
joey|whoa
joey|it's time for my date with joey
chandler|all right look look
chandler|what did
chandler|what did you get for angela delveccio for her birthday
joey|she didn't have a birthday while we were going out
chandler|for three years
joey|look it's too late and i got an audition
joey|i can't shop anymore
joey|i
chandler|all right
chandler|i will go out and i will try to find something for her okay
joey|thanks man
joey|and oh while you're at it could you get her a card
chandler|would you like me to write her a little poem as well
joey|or
joey|just get a card that has a poem already in it
phoebe|but mon you have to get our money
monica|oh phoebe she couldn't stop crying
monica|with those thick glasses her tears looked giant
phoebe|i know it's tough
phoebe|you know what the first thing i did after my mother's funeral was
monica|what
phoebe|pay the caterer
phoebe|look i've had a lot of jobs okay and there are some people who just always try to get out of paying
phoebe|it's either you know that massage wasn't long enough or i don't recognize any of those songs or you know these sombreros aren't big enough
phoebe|bad little white girl
monica|okay
monica|so what do you
monica|you think she's faking
phoebe|well it seems like there weren't any tears til you showed her the bill
monica|phoebe she sounded pretty upset to me
phoebe|she seems fine now
joey|so you just left
joey|her place was really that bad
ross|you know how you throw your jacket on a chair at the end of the day
joey|yeah
ross|well like that only instead of a chair it's a pile of garbage
ross|and instead of a jacket it's a pile of garbage
ross|and instead of the end of the day it's the end of time and garbage is all that has survived
ross|here
joey|wow
joey|thanks
joey|so uh what happened
ross|what do you mean
ross|nothing happened
ross|i had to get out of there
joey|all right so
joey|next time you take her to your place
ross|no i tried that
ross|she says it has a weird smell
joey|what kind of smell
ross|i don't know
ross|soap
joey|all right listen ross
joey|you like this girl right
ross|yeah
joey|you wanna see her again right
ross|yeah
joey|so you're gonna have to do it in the mess
ross|yeah okay you're right
joey|yeah
ross|i mean uh who
ross|who cares about a little sloppiness
joey|yeah
ross|it's uh
ross|it's endearing really
joey|all right
joey|now you go get that beautiful pig
joey|oink
chandler|okay all right
chandler|i just spent the entire afternoon looking for a present for kathy that would be better than the rabbit
rachel|any luck
chandler|oh yeah
chandler|yeah i found this great place called invisible things for kathy
chandler|can you give me a hand with all this stuff
rachel|all right look
rachel|why don't you just return the book let joey give her the clock pen and you give her something worse than that
rachel|like
rachel|a regular pen
chandler|she's really going to love this you know
chandler|the bottom line is i want her to have it even if i don't get to be the one who gives it to her
rachel|aw honey that's so sweet
chandler|yeah
chandler|you don't think it's just pathetic
rachel|oh
rachel|pathetic
joey|hey
joey|i'm meeting kathy in ten minutes
joey|i've been looking all over for you
chandler|where
joey|our place the hall
joey|i
chandler|i got something for her
chandler|it's a book
joey|a book
joey|is it like a book that's also a safe
chandler|no it's a book that's just a book okay
chandler|it's an early edition of the velveteen rabbit
chandler|it was her favorite book as a kid
chandler|so uh just
chandler|let me know if she likes it okay
joey|you got it
joey|thanks man
joey|thanks for doing this i owe you one
joey|oh hey
joey|there wasn't any change from that twenty was there
chandler|no it came out to an even twenty
joey|wow
joey|that's almost as much as a new book
phoebe|you didn't get the money did you
monica|maybe i can try at intermission
monica|phoebe come on
monica|you know what
monica|let's just go
phoebe|no
phoebe|hey we're not leaving until we get paid
phoebe|i don't know who she thinks she is
phoebe|enough is enough
phoebe|hey widow
phoebe|okay widow
phoebe|excuse me
phoebe|excuse me
phoebe|thanks
phoebe|um clearly this is a very very hard time for you
phoebe|um but um we provided a service and we deserve to be paid because you ate that service and um we are not leaving here until we're paid every penny
phoebe|cause you know what lady
phoebe|we're part time caterers and we have no place else to go
phoebe|good
monica|i'm gonna leave some cards here
monica|please think of us for you next event
ross|yes
ross|yes i do
ross|department of sanitation
ross|oh
ross|ah
ross|aw
ross|ah cheryl
ross|oh my god
ross|i'm so sorry cheryl
ross|i must have freaked out
rachel|i did it
rachel|oh
rachel|i finished it
rachel|i did it all by myself
rachel|and there's nobody to hug
rachel|hey
rachel|hey you guys i finished the crossword all by myself
rachel|hug me
phoebe|uh
phoebe|yay
rachel|thanks
monica|oh that's great
monica|congratulations
rachel|thank you
rachel|hey how'd the catering go
monica|oh it was great
monica|the widow wouldn't pay so phoebe yelled at her til she did
phoebe|yeah
phoebe|i'm a hard ass
monica|and i'm a wuss
monica|and we should be partners
phoebe|yeah
phoebe|hard ass and wuss
phoebe|we could fight crime
monica|wait a minute phoebe
monica|we should be partners
monica|we should be catering partners
monica|i mean think about it
monica|you're not working right now and we have such a great time together
phoebe|okay
monica|i can cook and you can take care of the money
phoebe|yeah
phoebe|oh
phoebe|it'll be like i have a wife in the fifties
joey|hey
chandler|hey how'd it go
chandler|how'd she like the gift
joey|oh man she loved it
joey|she's over there showing monica and rachel right now
chandler|oh yeah
chandler|that's great
joey|hey listen i gotta tell ya i feel kinda bad taking credit for this because man am i gonna get a lot of credit for this
chandler|aahhuuhhh
joey|hey
chandler|hey
chandler|happy birthday
joey|you know uh
joey|chandler got you a gift too
chandler|no he didn't
joey|yeah he did look
joey|look it's right there on the counter
joey|ha ho ho
chandler|happy birthday
chandler|i'm sorry
chandler|see you think it's just a pen but then you turn it over and it's also a clock
chandler|oh yeah
chandler|yeah
joey|ah
joey|hm
joey|wanna go to bed
joey|oh uh
joey|don't forget your coupon
chandler|goodnight
chandler|oh uh yeah
chandler|i just knew that sometimes when you're writing you
chandler|you don't always know the exact time
chandler|uh the book
chandler|what do you mean
chandler|uhl
chandler|ell
chandler|by the way in case you missed that that sound was uhl ell
chandler|oh yeah he's my
chandler|he's my best friend
chandler|goodnight
joey|hey that coupon expires you know
monica|hi
monica|uh you
monica|you don't know me i'm monica geller
monica|ross's sister
monica|yeah
monica|anyway he told me about your apartment
monica|and um i couldn't sleep thinking about it
monica|so uh would it be okay if i cleaned it
monica|no
chandler|i just walked in the bathroom and saw kathy naked
chandler|it was like torture
ross|y'know if we ever go to war and you’re captured you’re in for a big surprise
chandler|it just keeps getting worse and worse
chandler|y'know
chandler|i mean it’s bad enough that i’m in love with my roommates girlfriend which by the way i think she knows
chandler|because every time we’re in the room together there’s this weird like energy between us
chandler|and call me crazy but i think she likes me too
chandler|and now i have seen her naked
chandler|i mean at least when i’ve seen her with clothes on i could imagine her body was like covered in boles or something
chandler|but there are no boles she’s smooth
chandler|smooth
phoebe|wow
phoebe|could everyone totally see up his robe
joey|great
joey|all right so i’ll call you later
chandler|hey hey hey
chandler|who was that
joey|that would be casey
joey|we’re going out tonight
chandler|goin’ out huh
chandler|wow
chandler|wow
chandler|so things didn’t work out with kathy huh
chandler|bummer
joey|no things are fine with kathy
joey|i’m having a late dinner with her tonight right after my early dinner with casey
chandler|what
joey|yeah yeah
joey|and the craziest thing is that i just ate a whole pizza by myself
chandler|wait
chandler|you’re going out with kathy
joey|yeah
joey|why are you getting so upset
chandler|well i’m upset for you
chandler|i mean having sex with an endless line of beautiful women must be very unfulfilling for you
joey|what is the big deal
joey|it’s not like we’re exclusive
chandler|look joey kathy is clearly not fulfilling your emotional needs
chandler|but casey i mean granted i only saw the back of her head but i got this sense that she’s she’s smart and funny and gets you
joey|you got all that from the back of her head
chandler|all right look i think it’s time for you to settle down
chandler|y'know
chandler|make a choice pick a lane
joey|who’s elaine
phoebe|little tiny tarzan swinging on a nose hair
phoebe|swinging with the greatest of ease darn it
phoebe|now i don’t know who to get to the next verse
ross|oh you could just go uh greatest of ease bah bah bha bhannn
ross|then go right into it
phoebe|yeah ooh i like that
phoebe|yeah
phoebe|wait
phoebe|how do you know about ‘bah bah bha bhan
phoebe|’
ross|well umm y’know i used to play
phoebe|oh yeah that’s right the keyboards huh
ross|yeah just a little in high school but then i really got into it in college
ross|i mean that’s that’s when i really found my sound
monica|oh god
monica|orange juice just came out of my nose but it was totally worth it
monica|oh my god i completely forgot about your sound
ross|yeah
monica|he used to lock himself in the basement for hours
monica|no one was every allowed to hear the sound
phoebe|i wanna hear the sound
ross|really
ross|no
ross|i mean nah i haven’t played in so long and and well it’s it’s really personal stuff y’know
phoebe|come on play that funky music white boy
monica|yeah
ross|no you guys i mean my keyboards are all the way up in no yeah okay
ross|okay guys
chandler|all right
chandler|bring it on you
ross|here we go
